IG,Y_all,E_all,pm10,smoke,ethnic,log.price,easting,northing
S02000703,97,105.486379,17,34.6,5.08,11.32659589,25.19608557,66.93061861
S02000704,111,102.952851,17.4,36.9,1.02,10.88743693,25.75510871,66.93184605
S02000705,221,170.179187,17.3,26.5,6.51,11.56171563,25.42037636,66.93341521
S02000706,167,142.86735,17.2,29.9,6.93,11.37939407,25.27842698,66.93691923
S02000707,110,106.522972,17,33.4,3.06,11.29009436,25.15230953,66.9511993
S02000708,103,106.488704,17.7,40.2,0.8,10.43778553,25.98068263,66.95474047
S02000709,242,186.181255,17,33.2,2.18,11.35040654,25.35875292,67.00697565
S02000710,133,107.459061,17.1,34.6,3.57,11.15625052,25.61566051,67.01102632
S02000711,77,93.498866,16.7,31.9,2.84,11.57684817,25.21321321,67.0280415
S02000712,84,100.364743,16.9,39.9,1.77,10.25765937,25.25482311,67.08489222
S02000713,94,97.707418,16.9,35.8,2.74,11.070537,25.7852268,67.11685902
S02000714,74,84.663908,16.5,47.8,1.38,12.01370075,25.12708934,67.12450488
S02000715,61,77.193178,16.7,51.9,0.95,11.20538076,25.27144493,67.16242955
S02000716,80,70.563723,16.5,49,1.91,10.50457427,25.18579529,67.1818915
S02000771,60,77.767188,13.5,13.6,6.95,11.813030060000001,23.58353823,66.97133459
S02000772,102,104.553451,13.2,19.5,3.95,12.10071213,23.00784443,66.9765643
S02000773,71,101.102267,13.1,22.9,2.65,11.8313792,22.1240714,67.05427097
S02000774,146,133.124719,13.5,42.6,0.24,10.10438549,23.41287514,67.2989006
S02000775,155,145.516458,13.5,40.6,1.14,9.413281216,23.482114,67.34894819
S02000776,185,143.150588,13.5,33.9,1.69,10.62132735,23.20354902,67.42878436
S02000777,119,113.508764,13.6,27.7,1.89,11.44178386,22.19213881,67.46958413
S02000778,158,113.334958,13.55,41.2,1.1,10.68051622,22.98907618,67.50696043
S02000779,141,126.194317,13.9,30.6,1.68,10.93310697,22.64251735,67.54712736
S02000780,159,124.693719,13.7,37.7,2.08,10.80980875,22.75364154,67.56747447
S02000781,261,192.01672,13.6,38,1.83,10.69053483,22.84287469,67.57226529
S02000782,128,103.275102,13.75,33.6,1.67,10.77895629,22.38618143,67.58959962
S02000783,145,131.699947,13.9,30.1,2.29,10.75790288,22.55937418,67.60698377
S02000784,149,156.565493,13.8,21.8,2.34,11.32055357,22.70110881,67.65949918
S02000785,134,135.541633,13.8,23.3,2.98,11.06663836,22.46396989,67.66827446
S02000786,133,135.048392,13.7,22.9,2.63,11.35040654,22.3701897,67.71022238
